nba;oid;qua;landschl;land;regbezschl;regbez;kreisschl;kreis;gmdschl;gmd;ottschl;ott;strschl;str;hnr;adz;zone;ostwert;nordwert;postplz;postonm;postonmzus;postott
N;DERPLP050000G1Sc;A;07;Rheinland-Pfalz;1;Koblenz;11;Stadt Koblenz;000;Koblenz;0000;;00027;Am Berg;3;;32;399201.342;5581607.304;56070;Koblenz;am Rhein;Lützel
N;DERPLP050000G1Ry;A;07;Rheinland-Pfalz;1;Koblenz;11;Stadt Koblenz;000;Koblenz;0000;;00076;Am Sender;1;;32;399286.166;5581498.757;56070;Koblenz;am Rhein;Lützel
N;DERPLP050000G1Rw;A;07;Rheinland-Pfalz;1;Koblenz;11;Stadt Koblenz;000;Koblenz;0000;;00076;Am Sender;2;;32;399276.293;5581516.063;56070;Koblenz;am Rhein;Lützel
N;DERPLP050000G1Ru;A;07;Rheinland-Pfalz;1;Koblenz;11;Stadt Koblenz;000;Koblenz;0000;;00076;Am Sender;3;;32;399245.178;5581461.765;56070;Koblenz;am Rhein;Lützel
N;DERPLP050000G1Rs;A;07;Rheinland-Pfalz;1;Koblenz;11;Stadt Koblenz;000;Koblenz;0000;;00076;Am Sender;3;A;32;399277.675;5581394.780;56070;Koblenz;am Rhein;Lützel
N;DERPLP050000G1Sl;A;07;Rheinland-Pfalz;1;Koblenz;11;Stadt Koblenz;000;Koblenz;0000;;00076;Am Sender;5;;32;399215.615;5581435.483;56070;Koblenz;am Rhein;Lützel
N;DERPLP050000MrBT;B;07;Rheinland-Pfalz;1;Koblenz;11;Stadt Koblenz;000;Koblenz;0000;;00076;Am Sender;6;;32;399201.478;5581448.245;56070;Koblenz;am Rhein;Lützel
N;DERPLP050000G1RG;A;07;Rheinland-Pfalz;1;Koblenz;11;Stadt Koblenz;000;Koblenz;0000;;00114;Andernacher Straße;199;;32;399432.869;5581524.303;56070;Koblenz;am Rhein;Lützel
N;DERPLP2000026JoD;A;07;Rheinland-Pfalz;1;Koblenz;11;Stadt Koblenz;000;Koblenz;0000;;00114;Andernacher Straße;199;A;32;399465.312;5581578.952;56070;Koblenz;am Rhein;Lützel
N;DERPLP050000G1Se;A;07;Rheinland-Pfalz;1;Koblenz;11;Stadt Koblenz;000;Koblenz;0000;;00114;Andernacher Straße;201;;32;399428.994;5581602.966;56070;Koblenz;am Rhein;Lützel
N;DERPLP050000G1RC;A;07;Rheinland-Pfalz;1;Koblenz;11;Stadt Koblenz;000;Koblenz;0000;;00964;Von-Kuhl-Straße;49;;32;399379.362;5581267.496;56070;Koblenz;am Rhein;Lützel
N;DERPLP050000G1RE;A;07;Rheinland-Pfalz;1;Koblenz;11;Stadt Koblenz;000;Koblenz;0000;;00964;Von-Kuhl-Straße;51;;32;399448.590;5581251.969;56070;Koblenz;am Rhein;Lützel
N;DERPLP050000G1Sb;A;07;Rheinland-Pfalz;1;Koblenz;11;Stadt Koblenz;000;Koblenz;0000;;00027;Am Berg;1;;32;399196.742;5581612.372;56070;Koblenz;am Rhein;Lützel